index,erabuilt,numstories,roofshape,fpAreas,occupancy2,fparea,repaircost,constype,occupancy,Lat,Lon
2861,1960,2,Gable,1722,Residential,1597.0,327227.365,RM1,RES1,37.90066894545454,-122.48647162727273
2862,1960,1,Gable,2227,Residential,1914.0,379480.575,RM1,RES1,37.900744233333334,-122.48626793333334
2863,1960,1,Gable,2769,Other,1954.0,331038.545,RM1,RES1,37.90082828947369,-122.48605628947368
2864,NA,NA,Hip,806,Residential,,,,,37.897369946666664,-122.48121904
2865,1969,1,Flat,3406,Residential,1918.0,352970.236,W1,RES1,37.90513926470588,-122.47722273529413
2866,1969,2,Gable,2463,Residential,2520.0,414151.194,W1,RES1,37.90485034444444,-122.47682012222221
2867,1969,1,Hip,2740,Residential,2404.0,400842.809,RM1,RES1,37.904683923076924,-122.47667666153846
2868,1969,1,Flat,1198,Residential,1451.0,295834.138,W1,RES1,37.90460518461539,-122.47640233076922
2869,1969,1,Gable,1121,Residential,851.185,211801.146,C1,RES3A,37.90419515,-122.47590411666665
2870,1969,1,Gable,4737,Other,1728.17,357204.585,W1,RES3A,37.90438842142857,-122.47597705714284
2871,1969,1,Gable,4793,Residential,2614.0,569538.179,RM1,RES1,37.903709057142855,-122.47586079999999
2872,1969,1,Gable,3256,Other,590.787878,134147.748,C1,COM1,37.903621754545455,-122.4764560181818
2873,1969,1,Flat,3530,Other,3271.0,485252.528,RM1,RES1,37.903623023076925,-122.47701944615385
2874,1969,2,Hip,2901,Residential,4212.0,577758.466,W1,RES1,37.903387286666664,-122.47845371333332
2875,1969,1,Hip,4792,Residential,3108.0,470078.44,W1,RES1,37.90337031052631,-122.47890819999999
2876,1969,1,Hip,1883,Residential,1724.0,329240.384,W1,RES1,37.90370661428572,-122.47791794285715
2877,1969,1,Gable,2687,Residential,2532.0,414285.487,W1,RES1,37.90380852307692,-122.4776404923077
2878,1969,2,Hip,2288,Residential,2983.0,455010.054,W1,RES1,37.90393154000001,-122.47735590666667
2879,1969,2,Flat,2891,Residential,2237.0,387489.628,RM1,RES1,37.90385503636364,-122.47695129090908
2880,1969,2,Hip,4830,Residential,4662.0,613916.012,RM1,RES1,37.90380612631579,-122.47867625789475
2881,NA,NA,Hip,2966,Other,,,,,37.90413971428571,-122.47822584761904
2882,1969,1,Flat,4322,Residential,2728.0,433321.639,RM1,RES1,37.90433501249999,-122.47824181250002
2883,1969,5,Flat,550,Residential,2313.72748,356044.449,S1,IND3,37.90477042,-122.47825571999999
